list-none-m,1,1000,1,3000,3292983,1097,36
list-none-m,2,1000,1,6000,17655522,2942,4411
list-none-m,4,1000,1,12000,86006670,7167,30452
list-none-m,8,1000,1,24000,332120875,13838,130867
list-none-m,12,1000,1,36000,609865747,16940,223029
list-none-m,16,1000,1,48000,994356298,20715,353111
list-none-m,24,1000,1,72000,2214348413,30754,803711
list-none-m,2,900,1,5400,15390176,2850,4265
list-none-m,4,900,1,10800,73927360,6845,27962
list-none-m,8,900,1,21600,273094197,12643,115146
list-none-m,12,900,1,32400,621264890,19174,287265
list-none-m,16,900,1,43200,861522333,19942,343022
list-none-m,24,900,1,64800,2198390815,33925,970848
list-none-s,1,1000,1,3000,3254663,1084,33
list-none-s,2,1000,1,6000,10568793,1761,2451
list-none-s,4,1000,1,12000,82897819,6908,30142
list-none-s,8,1000,1,24000,186917884,7788,63701
list-none-s,12,1000,1,36000,364472166,10124,121864
list-none-s,16,1000,1,48000,641061066,13355,225338
list-none-s,24,1000,1,72000,1924164024,26724,713146
list-none-s,2,900,1,5400,10018543,1855,2695
list-none-s,4,900,1,10800,49382370,4572,19419
list-none-s,8,900,1,21600,140692528,6513,50292
list-none-s,12,900,1,32400,257831373,7957,93836
list-none-s,16,900,1,43200,480516549,11123,168376
list-none-s,24,900,1,64800,2261109228,34893,982550
list-id-none,1,1,4,3,112178,37392,0
list-id-none,1,2,4,6,95506,15917,0
list-id-none,1,4,4,12,68711,5725,0
list-id-none,1,8,4,24,96811,4033,0
list-id-none,1,16,4,48,86934,1811,0
list-id-none,1,32,4,96,67714,705,0
list-id-none,2,1,4,6,126129,21021,0
list-id-none,2,2,4,12,106174,8847,0
list-id-none,2,4,4,24,84745,3531,0
list-id-none,2,8,4,48,66921,1394,0
list-id-none,2,16,4,96,87537,911,0
list-id-none,2,32,4,192,104931,546,0
list-id-none,4,1,4,12,129334,10777,0
list-id-none,4,2,4,24,136427,5684,0
list-id-none,4,4,4,48,123747,2578,0
list-id-none,4,8,4,96,137156,1428,0
list-id-none,4,16,4,192,118963,619,0
list-id-none,4,32,4,384,134087,349,0
list-id-none,8,1,4,24,233758,9739,0
list-id-none,8,2,4,48,229830,4788,0
list-id-none,8,4,4,96,223917,2332,0
list-id-none,8,8,4,192,248845,1296,0
list-id-none,8,16,4,384,222138,578,0
list-id-none,8,32,4,768,272540,354,0
list-id-none,12,1,4,36,310385,8621,0
list-id-none,12,2,4,72,337960,4693,0
list-id-none,12,4,4,144,351661,2442,0
list-id-none,12,8,4,288,325956,1131,0
list-id-none,12,16,4,576,338326,587,0
list-id-none,12,32,4,1152,364099,316,0
list-id-none,16,1,4,48,402178,8378,0
list-id-none,16,2,4,96,435820,4539,0
list-id-none,16,4,4,192,415162,2162,0
list-id-none,16,8,4,384,436719,1137,0
list-id-none,16,16,4,768,434652,565,0
list-id-none,16,32,4,1536,433826,282,0
list-id-m,1,10,4,30,105322,3510,63
list-id-m,1,20,4,60,148612,2476,45
list-id-m,1,40,4,120,184434,1536,32
list-id-m,1,80,4,240,249959,1041,24
list-id-m,2,10,4,60,180489,3008,471
list-id-m,2,20,4,120,215561,1796,955
list-id-m,2,40,4,240,360460,1501,446
list-id-m,2,80,4,480,558669,1163,551
list-id-m,4,10,4,120,284746,2372,2326
list-id-m,4,20,4,240,350556,1460,1443
list-id-m,4,40,4,480,509881,1062,1204
list-id-m,4,80,4,960,915337,953,1495
list-id-m,8,10,4,240,502163,2092,2990
list-id-m,8,20,4,480,630277,1313,3911
list-id-m,8,40,4,960,944856,984,3496
list-id-m,8,80,4,1920,1836915,956,3741
list-id-m,12,10,4,360,633778,1760,4352
list-id-m,12,20,4,720,904773,1256,6796
list-id-m,12,40,4,1440,1580052,1097,6248
list-id-m,12,80,4,2880,2814027,977,6607
list-id-m,16,10,4,480,818393,1704,6443
list-id-m,16,20,4,960,1212162,1262,7943
list-id-m,16,40,4,1920,1971715,1026,7708
list-id-m,16,80,4,3840,4582007,1193,12820
list-id-s,1,10,4,30,107883,3596,48
list-id-s,1,20,4,60,146620,2443,41
list-id-s,1,40,4,120,187723,1564,38
list-id-s,1,80,4,240,230377,959,35
list-id-s,2,10,4,60,182470,3041,591
list-id-s,2,20,4,120,185761,1548,551
list-id-s,2,40,4,240,274969,1145,387
list-id-s,2,80,4,480,440931,918,403
list-id-s,4,10,4,120,258283,2152,2223
list-id-s,4,20,4,240,277012,1154,1603
list-id-s,4,40,4,480,402389,838,1257
list-id-s,4,80,4,960,648621,675,1288
list-id-s,8,10,4,240,424998,1770,4814
list-id-s,8,20,4,480,620407,1292,5551
list-id-s,8,40,4,960,886551,923,5058
list-id-s,8,80,4,1920,1518430,790,4910
list-id-s,12,10,4,360,586961,1630,6867
list-id-s,12,20,4,720,1805140,2507,29749
list-id-s,12,40,4,1440,1407785,977,9220
list-id-s,12,80,4,2880,2673563,928,10414
list-id-s,16,10,4,480,663156,1381,1771
list-id-s,16,20,4,960,962464,1002,6377
list-id-s,16,40,4,1920,2258509,1176,15678
list-id-s,16,80,4,3840,4965766,1293,21646
list-none-s,1,1000,4,3000,1227406,409,33
list-none-s,2,1000,4,6000,5367679,894,578
list-none-s,4,1000,4,12000,11366583,947,2332
list-none-s,8,1000,4,24000,39269344,1636,12334
list-none-s,12,1000,4,36000,85125379,2364,30919
list-none-s,1,1000,8,3000,861223,287,34
list-none-s,2,1000,8,6000,4054762,675,253
list-none-s,4,1000,8,12000,7354439,612,964
list-none-s,8,1000,8,24000,17731910,738,4052
list-none-s,12,1000,8,36000,37314245,1036,10626
list-none-s,1,1000,16,3000,745826,248,34
list-none-s,2,1000,16,6000,2507192,417,133
list-none-s,4,1000,16,12000,4239307,353,428
list-none-s,8,1000,16,24000,9579139,399,1509
list-none-s,12,1000,16,36000,15791597,438,3206
list-none-m,1,1000,4,3000,1139864,379,22
list-none-m,2,1000,4,6000,5176441,862,557
list-none-m,4,1000,4,12000,14728731,1227,2352
list-none-m,8,1000,4,24000,47945622,1997,12174
list-none-m,12,1000,4,36000,104425167,2900,32301
list-none-m,1,1000,8,3000,833153,277,19
list-none-m,2,1000,8,6000,3615863,602,306
list-none-m,4,1000,8,12000,7937856,661,999
list-none-m,8,1000,8,24000,20912664,871,3576
list-none-m,12,1000,8,36000,42934352,1192,9573
list-none-m,1,1000,16,3000,691847,230,19
list-none-m,2,1000,16,6000,2591254,431,189
list-none-m,4,1000,16,12000,4916758,409,436
list-none-m,8,1000,16,24000,11606484,483,1426
list-none-s,12,1000,16,36000,15881532,441,3193
