list-none-none,1,10,1,30,90841,3028
list-none-none,1,100,1,300,121439,404
list-none-none,1,1000,1,3000,2878889,959
list-none-none,1,10000,1,30000,266879374,8895
list-none-none,1,20000,1,60000,1164879729,19414
list-none-none,2,1,1,6,94600,15766
list-none-none,2,10,1,60,235932,3932
list-none-none,2,100,1,600,386794,644
list-none-none,4,1,1,12,180869,15072
list-none-none,4,10,1,120,195157,1626
list-none-none,8,1,1,24,310575,12940
list-none-none,12,1,1,36,404345,11231
list-none-none,12,10,1,360,396527,1101
list-i-none,2,1,1,6,204362,34060
list-i-none,2,2,1,12,155249,12937
list-i-none,2,4,1,24,195005,8125
list-i-none,2,16,1,96,212624,2214
list-i-none,4,1,1,12,147156,12263
list-i-none,4,2,1,24,151383,6307
list-i-none,4,4,1,48,134084,2793
list-i-none,4,8,1,96,171483,1786
list-i-none,8,1,1,24,255300,10637
list-i-none,8,2,1,48,255597,5324
list-i-none,8,4,1,96,228668,2381
list-i-none,8,8,1,192,258293,1345
list-i-none,8,16,1,384,277658,723
list-i-none,12,1,1,36,361923,10053
list-i-none,12,2,1,72,349268,4850
list-i-none,12,4,1,144,347805,2415
list-i-none,12,8,1,288,370334,1285
list-i-none,12,16,1,576,342975,595
list-d-none,2,1,1,6,106436,17739
list-d-none,2,2,1,12,109202,9100
list-d-none,2,4,1,24,120093,5003
list-d-none,2,8,1,48,139721,2910
list-d-none,4,1,1,12,154721,12893
list-d-none,4,2,1,24,145099,6045
list-d-none,4,4,1,48,157969,3291
list-d-none,8,1,1,24,244880,10203
list-d-none,8,2,1,48,265529,5531
list-d-none,8,4,1,96,254717,2653
list-d-none,8,8,1,192,267852,1395
list-d-none,8,16,1,384,261653,681
list-d-none,12,1,1,36,371016,10306
list-d-none,12,2,1,72,365632,5078
list-d-none,12,4,1,144,351534,2441
list-d-none,12,8,1,288,355141,1233
list-il-none,2,1,1,6,114205,19034
list-il-none,2,2,1,12,110374,9197
list-il-none,2,4,1,24,123246,5135
list-il-none,2,8,1,48,117221,2442
list-il-none,2,32,1,192,164502,856
list-il-none,4,1,1,12,151359,12613
list-il-none,4,2,1,24,162164,6756
list-il-none,4,4,1,48,161583,3366
list-il-none,4,8,1,96,164699,1715
list-il-none,8,1,1,24,284072,11836
list-il-none,8,2,1,48,270105,5627
list-il-none,8,4,1,96,281652,2933
list-il-none,8,8,1,192,349577,1820
list-il-none,8,16,1,384,339705,884
list-il-none,12,1,1,36,401041,11140
list-il-none,12,2,1,72,415113,5765
list-il-none,12,4,1,144,905865,6290
list-il-none,12,8,1,288,401117,1392
