add-yield-none,4,40,320,323057,1009,53
add-yield-none,8,40,640,608796,951,83
add-yield-none,12,40,960,1750198,1823,77
add-yield-none,2,80,320,300753,939,-26
add-yield-none,4,80,640,534976,835,46
add-yield-none,8,80,1280,551517,430,141
add-yield-none,12,80,1920,3605542,1877,19
add-yield-none,2,100,400,366252,915,38
add-yield-none,4,100,800,467353,584,74
add-yield-none,8,100,1600,1063882,664,45
add-yield-none,12,100,2400,3074420,1281,151
add-yield-none,2,1000,4000,5180212,1295,16
add-yield-none,4,1000,8000,2135355,266,-69
add-yield-none,8,1000,16000,5043898,315,130
add-yield-none,12,1000,24000,7840425,326,449
add-yield-none,2,10000,40000,19168492,479,-80
add-yield-none,4,10000,80000,19098024,238,-59
add-yield-none,8,10000,160000,37962416,237,1301
add-yield-none,12,10000,240000,28654600,119,2456
add-yield-none,2,100000,400000,231889031,579,-19451
add-yield-none,4,100000,800000,210388097,262,-9821
add-yield-none,8,100000,1600000,194288419,121,10972
add-yield-none,12,100000,2400000,284390766,118,-106540
add-none,1,100,200,120251,601,0
add-none,1,1000,2000,128629,64,0
add-none,1,10000,20000,311198,15,0
add-none,1,100000,200000,3402971,17,0
add-none,1,1000000,2000000,20568880,10,0
add-none,2,100,400,140746,351,0
add-none,2,1000,4000,228104,57,629
add-none,2,10000,40000,879940,21,-9323
add-none,2,100000,400000,7995068,19,-16525
add-none,2,1000000,4000000,63155784,15,-713231
add-none,4,100,800,204182,255,0
add-none,4,1000,8000,300808,37,168
add-none,4,10000,80000,2075919,25,-9851
add-none,4,100000,800000,20735231,25,-112211
add-none,4,1000000,8000000,155687283,19,-865207
add-yield-none,1,100,200,275680,1378,0
add-yield-none,1,1000,2000,1501371,750,0
add-yield-none,1,10000,20000,16198153,809,0
add-yield-none,1,100000,200000,382503130,1912,0
add-yield-none,1,1000000,2000000,1783649329,891,0
add-yield-none,2,100,400,318188,795,27
add-yield-none,2,1000,4000,1993328,498,76
add-yield-none,2,10000,40000,25677968,641,-2344
add-yield-none,2,100000,400000,189416566,473,-23862
add-yield-none,2,1000000,4000000,1941980871,485,-65102
add-yield-none,4,100,800,375802,469,91
add-yield-none,4,1000,8000,2151792,268,91
add-yield-none,4,10000,80000,17945143,224,-818
add-yield-none,4,100000,800000,186509342,233,1060
add-yield-none,4,1000000,8000000,1821854027,227,-58120
add-yield-m,2,10000,40000,106276110,2656,0
add-yield-m,4,10000,80000,259969499,3249,0
add-yield-m,8,10000,160000,663529066,4147,0
add-yield-m,12,10000,240000,1324850310,5520,0
add-yield-c,2,10000,40000,33269154,831,0
add-yield-c,4,10000,80000,87156616,1089,0
add-yield-c,8,10000,160000,153457966,959,0
add-yield-c,12,10000,240000,258699643,1077,0
add-yield-s,2,10000,40000,133274336,3331,0
add-yield-s,4,10000,80000,115971123,1449,0
add-yield-s,8,10000,160000,283427924,1771,0
add-yield-s,12,10000,240000,1736590983,7235,0
add-m,1,10000,20000,9049724,452,0
add-m,2,10000,40000,9018927,225,0
add-m,4,10000,80000,4855601,60,0
add-m,8,10000,160000,36542176,228,0
add-m,12,10000,240000,53177067,221,0
add-c,1,10000,20000,581192,29,0
add-c,2,10000,40000,7399850,184,0
add-c,4,10000,80000,7414265,92,0
add-c,8,10000,160000,16023049,100,0
add-c,12,10000,240000,105133282,438,0
add-s,1,10000,20000,25721432,1286,0
add-s,2,10000,40000,34068527,851,0
add-s,4,10000,80000,30325760,379,0
add-s,8,10000,160000,59545805,372,0
